Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785682079,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785682080,5,,Aggregated,0.000000,0.000000,19,22,25,25,31,55,64,74,74,74,74,90,0,19,21.23090332865508,9.404000011272728,74.06080001965165,67.0
1785682081,10,,Aggregated,0.000000,0.000000,34,39,41,43,52,58,65,69,74,74,74,228,0,34,32.70266052302823,9.404000011272728,74.06080001965165,67.0
1785682082,10,,Aggregated,75.000000,0.000000,36,41,43,44,48,54,62,67,74,74,74,371,0,36,34.84600080607705,9.404000011272728,74.06080001965165,67.0
1785682083,10,,Aggregated,100.500000,0.000000,37,41,43,44,48,53,59,64,74,74,74,512,0,37,35.69239140415448,9.404000011272728,74.06080001965165,67.0
1785682084,10,,Aggregated,114.666667,0.000000,37,41,43,45,49,54,69,80,89,89,89,649,0,37,36.874854545258216,9.404000011272728,89.35910009313375,67.0
1785682085,10,,Aggregated,121.250000,0.000000,37,41,43,44,49,54,64,75,89,89,89,796,0,37,36.600955024867055,9.404000011272728,89.35910009313375,67.0
1785682086,10,,Aggregated,124.200000,0.000000,38,42,44,45,50,55,64,74,89,89,89,928,0,38,37.50420377212416,9.404000011272728,89.35910009313375,67.0
1785682087,10,,Aggregated,127.666667,0.000000,39,43,45,47,52,56,64,70,86,89,89,1059,0,39,38.55870916012136,9.404000011272728,89.35910009313375,67.0
1785682088,10,,Aggregated,128.714286,0.000000,40,44,46,48,53,57,64,69,86,89,89,1186,0,40,39.40569342384555,9.404000011272728,89.35910009313375,67.0
1785682089,10,,Aggregated,128.875000,0.000000,40,44,47,48,54,57,64,69,86,89,89,1315,0,40,39.93169574249366,9.404000011272728,89.35910009313375,67.0
1785682090,10,,Aggregated,128.444444,0.000000,41,44,47,48,54,58,63,69,86,89,89,1448,0,41,40.289826381701374,9.404000011272728,89.35910009313375,67.0
1785682091,10,,Aggregated,128.800000,0.000000,41,44,47,48,54,57,62,67,86,89,89,1585,0,41,40.35573261848736,9.404000011272728,89.35910009313375,67.0
1785682092,10,,Aggregated,134.300000,0.000000,41,45,47,48,54,57,62,67,86,89,89,1719,0,41,40.571172076828425,9.404000011272728,89.35910009313375,67.0
1785682093,10,,Aggregated,135.300000,0.000000,41,45,47,49,54,57,64,69,86,89,89,1846,0,41,40.876457475558155,9.404000011272728,89.35910009313375,67.0
